"Smiles","Class_HH","Class_WL"
"CO[P](=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl",0,
"Clc1cc(Cl)c(Cl)c(Cl)c1Cl",1,
"CCCCOCCOCCOCc1cc2OCOc2cc1CCC",,1
"S=C=S",1,
"CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C",1,
"Oc1cccc(O)c1",1,
"C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1",1,
"CC(=O)c1c(C)c(c(c(c1C)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O",0,
"CCCCC(CC)COC(=O)/C=C/c1ccc(OC)cc1",1,1
"Cc1ccc(cc1)\C=C2/C3CCC(C)(C2=O)C3(C)C",1,0
"COc1ccc(c(O)c1)C(=O)c2ccccc2",1,1
"OC(=O)c1ccc(O)cc1",1,
"COC(=O)c1ccc(O)cc1",1,
"CCOC(=O)c1ccc(O)cc1",1,1
"CCCOC(=O)c1ccc(O)cc1",1,1
"CCCCOC(=O)c1ccc(O)cc1",1,1
"CC1(C)C\2CCC1(C)C(=O)C2=C/c3ccccc3",1,1
"Oc1ccc(c(O)c1)C(=O)c2ccc(O)cc2O",1,1
"OB(O)O",1,1
"Oc1ccc(cc1)[N+]([O-])=O",1,
"Cc1cc(O)ccc1[N+]([O-])=O",1,
"Cc1ccc(O)cc1",1,
