Compound Id	BCUT [BCUTp-1l]
22191	4.1162
6123	4.7660
8576	4.7635
7851	4.7562
15387	4.7611
7811	4.7182
7835	4.7463
7769	4.6874
7716	4.6088
7564	4.4411
6101	4.1372
7466	3.7952
11732	4.1102
15803	5.4523
7236	4.0109
4437893	4.5952
4489	4.3715
12066	4.5202
13835836	4.7395
6720	4.9858
11042	5.68
10940	5.9158
10937	5.9992
20570	5.8191
19477	3.2895
14169248	3.0260
13648	4.3525
15409	4.2735
78	4.0450
17868	5.9441
4449	5.7467
75951	4.1358
72551	4.1457
72793	4.4306
11543	5.0489
18	4.1306
21105848	3.9017
556589	3.6734
880	4.1918
7155	3.7713
16359	3.7388
8329	5.3044
13842613	5.7576
21132380	5.7586
29001	3.9973
11632	3.3288
30516	3.3681
26325090	2.9555
21106145	3.7215
10488	3.8064
10292746	6.5190
68832	4.0769
23255	5.0751
11699	4.0310
11695	3.9524
11739	5.1318
11194	5.5248
6165	4.8961
10008	5.2336
10790	4.8961
62466	4.4307
11595	4.1157
6492	5.2747
10451	4.9196
2975965	5.0550
8900	4.6103
11230	5.0432
99681	4.1406
29015	5.1401
8904	5.5283
10018	4.8829
12954	3.4074
13867413	3.6833
13054	3.2518
24641	4.5868
11056	5.0533
11216	5.2558
11210	5.5248
11795	3.9529
789	3.8165
7131	4.8977
13854242	4.5480
1266019	3.7843
558878	3.7245
25890	3.4271
68152	3.3288
65936	4.0155
11180	5.2063
5830	4.1066
6610	5.1999
62485	4.3914
10756	6.0429
10181341	3.8820
58234	5.5127
5142	5.6773
136966	5.5850
64155	4.4301
553578	3.7245
18724	6.1093
7688	5.5099
220998	3.4467
654	4.3045
4366810	4.1096
10422	4.1096
558917	4.2030
57726	5.7753
6330	3.7171
61707	4.0315
10892	4.1797
89258	3.7927
18019	4.9067
13860434	3.8572
60886	4.0922
13871718	4.0262
1114	4.9481
68224	5.1073
68503	4.2272
24533	5.3142
8903	5.5486
11265	3.4860
120489	4.4822
13869414	4.6947
6301	5.6014
19709	5.0262
1664	5.3655
2241	4.3521
11107	3.9084
10986	4.1063
2441	5.0462
137720	4.2827
5593	6.2881
4599	4.4280
13836589	4.1460
21106173	5.2684
707	7.5441
10384035	4.8104
8855	6.2052
5026296	5.5127
10464	3.8743
59483	5.3081
17131	4.5169
12161	3.9818
26325086	5.2694
7856	5.0864
8562	5.0355
7730	4.8742
173	3.4027
191058	4.1703
9219586	3.8294
65234	4.8201
56117	4.6432
21106366	4.2755
25889	3.3288
192748	3.7909
13850142	5.6247
390927	5.6283
69340	3.9931
81815	3.1924
1577	4.5956
71	4.0864
6514	5.5489
4445317	4.4180
14556	4.4931
20132	3.6463
21782117	6.5190
6774	4.7789
11752	3.8743
8960	3.231
6334	3.7171
11460	4.6665
10438331	3.9151
10628694	4.3798
6604	6.2334
10756390	5.0505
13803	4.0422
